Soil_Type,Farm_Area_acres,Water_Availability_L_per_week,Irrigation_Type,Fertilizer_Used_kg,Season,Rainfall_mm,Temperature_C,Soil_pH,Crop
Sandy,4.68,882,Drip,199,Kharif,903,39,7.7,Cotton
Silty,8.18,1468,Rainfed,117,Summer,1156,21,6.0,Onion
Loamy,7.03,1033,Sprinkler,37,Rabi,113,18,6.3,Wheat
Silty,4.54,1198,Flood,200,Summer,1010,32,8.3,Onion
Clay,7.79,742,Sprinkler,24,Kharif,552,31,8.2,Rice
Sandy,7.53,1294,Flood,170,Rabi,1200,23,5.8,Sugarcane
Sandy,4.13,1399,Sprinkler,60,Rabi,286,29,6.3,Wheat
Sandy,2.9,1427,Drip,187,Kharif,1188,24,5.7,Rice
Loamy,4.6,973,Sprinkler,99,Rabi,774,22,5.8,Wheat
Clay,5.52,321,Rainfed,121,Rabi,636,24,7.8,Pulses
Loamy,1.66,1319,Flood,64,Rabi,545,31,7.4,Wheat
Silty,4.03,1175,Flood,26,Kharif,418,23,7.3,Rice
Peaty,7.85,823,Sprinkler,61,Kharif,337,26,6.2,Maize
Loamy,1.84,546,Flood,63,Kharif,329,34,8.2,Rice
Loamy,0.78,544,Drip,162,Summer,342,37,7.3,Tomato
Silty,7.72,215,Rainfed,162,Rabi,860,26,8.2,Maize
Peaty,5.84,605,Drip,83,Kharif,767,18,8.4,Maize
Peaty,2.99,1094,Drip,64,Summer,1006,23,6.0,Tomato
Sandy,5.48,288,Drip,114,Rabi,425,26,6.3,Pulses
Sandy,7.3,1356,Sprinkler,171,Kharif,199,21,6.8,Rice
Clay,2.56,329,Sprinkler,149,Kharif,975,40,7.5,Rice
Sandy,1.48,476,Sprinkler,189,Summer,1144,39,8.3,Pulses
Sandy,6.06,1133,Sprinkler,120,Summer,874,34,6.5,Tomato
Peaty,2.08,586,Rainfed,58,Rabi,873,38,6.8,Maize
Loamy,3.58,1133,Flood,81,Summer,1033,39,6.8,Onion
Clay,1.66,340,Flood,153,Summer,322,18,7.9,Tomato
Silty,7.5,1042,Sprinkler,70,Rabi,302,31,5.9,Maize
Silty,7.36,1471,Rainfed,196,Kharif,865,29,8.4,Maize
Clay,6.11,1346,Rainfed,156,Rabi,775,40,6.8,Rice
Clay,8.04,1114,Flood,199,Summer,1123,29,5.7,Rice
Sandy,8.97,1363,Sprinkler,185,Kharif,1115,25,7.1,Cotton
Silty,6.87,1271,Flood,59,Kharif,626,29,7.3,Maize
Silty,2.84,960,Drip,51,Summer,813,33,8.2,Tomato
Sandy,7.81,1010,Sprinkler,132,Rabi,110,33,7.2,Onion
Peaty,8.26,1461,Sprinkler,86,Summer,573,25,8.1,Onion
Clay,3.75,1324,Drip,59,Rabi,286,28,8.4,Rice
Silty,3.15,503,Rainfed,69,Rabi,516,21,8.2,Pulses
Peaty,2.36,397,Drip,195,Rabi,384,33,6.8,Rice
Loamy,2.28,1108,Sprinkler,163,Rabi,921,37,6.6,Wheat
Silty,8.5,1229,Rainfed,85,Summer,352,40,8.5,Tomato
Sandy,7.61,1490,Rainfed,189,Summer,155,21,7.4,Onion
Silty,3.98,1315,Drip,195,Rabi,419,23,6.8,Wheat
Sandy,9.78,265,Sprinkler,20,Summer,821,19,5.6,Pulses
Peaty,9.24,1242,Rainfed,108,Summer,594,37,7.8,Tomato
Loamy,7.65,552,Drip,77,Summer,501,30,8.0,Onion
Clay,8.41,1077,Flood,129,Kharif,135,22,7.6,Rice
Peaty,6.26,1089,Rainfed,123,Kharif,291,18,7.8,Maize
Peaty,8.74,1341,Rainfed,86,Rabi,412,38,8.4,Tomato
Silty,8.13,468,Drip,90,Kharif,928,33,7.9,Rice
Silty,7.46,539,Drip,199,Summer,908,18,6.9,Onion
Sandy,4.42,542,Rainfed,42,Kharif,521,38,7.7,Pulses
Peaty,4.6,344,Drip,46,Summer,294,35,8.1,Tomato
Loamy,8.92,1344,Rainfed,165,Summer,289,19,7.4,Onion
Silty,4.49,476,Rainfed,144,Rabi,289,25,5.6,Rice
Silty,2.03,351,Rainfed,30,Kharif,1073,28,6.6,Rice
Sandy,5.57,893,Sprinkler,166,Kharif,502,28,7.1,Cotton
Peaty,7.54,1295,Flood,78,Summer,1076,20,7.3,Tomato
Peaty,4.18,743,Rainfed,55,Rabi,275,26,8.3,Onion
Clay,7.21,263,Drip,171,Summer,850,23,6.7,Tomato
Silty,0.58,319,Drip,46,Summer,111,29,7.0,Tomato
Peaty,6.96,626,Flood,195,Rabi,1161,33,7.3,Maize
Peaty,10.0,1453,Rainfed,162,Rabi,1143,30,5.9,Maize
Clay,0.71,1170,Rainfed,50,Summer,1117,18,6.3,Rice
Silty,8.84,1074,Sprinkler,63,Rabi,1053,25,6.9,Cotton
Sandy,8.77,369,Flood,105,Summer,388,38,5.8,Pulses
Loamy,9.25,1051,Sprinkler,177,Kharif,318,27,8.3,Cotton
Clay,7.25,574,Rainfed,86,Summer,1191,28,6.4,Tomato
Silty,1.67,338,Rainfed,40,Kharif,1157,34,7.3,Rice
Sandy,7.23,876,Rainfed,22,Kharif,819,28,8.0,Maize
Sandy,3.18,869,Rainfed,147,Kharif,659,24,6.3,Cotton
Silty,8.8,951,Drip,169,Rabi,634,33,5.6,Onion
Sandy,3.37,453,Sprinkler,183,Summer,645,32,7.8,Pulses
Loamy,2.54,398,Drip,33,Kharif,921,29,7.7,Cotton
Clay,6.72,1103,Sprinkler,137,Rabi,406,25,7.6,Rice
Sandy,1.96,362,Sprinkler,78,Rabi,334,18,5.8,Pulses
Peaty,5.39,1115,Drip,176,Summer,649,34,7.2,Onion
Sandy,6.07,681,Sprinkler,108,Rabi,862,34,7.5,Tomato
Loamy,2.81,549,Sprinkler,181,Summer,292,30,7.7,Onion
Loamy,1.21,606,Drip,28,Rabi,1144,32,5.9,Wheat
Peaty,3.16,677,Sprinkler,133,Rabi,856,20,7.0,Onion
Loamy,1.56,1366,Drip,85,Kharif,1169,36,7.1,Rice
Clay,2.84,421,Rainfed,62,Summer,243,30,8.4,Tomato
Peaty,1.29,894,Rainfed,65,Rabi,560,31,8.2,Sugarcane
Loamy,7.49,803,Drip,107,Kharif,321,32,7.5,Maize
Silty,2.69,227,Sprinkler,167,Summer,931,29,7.2,Tomato
Clay,8.2,283,Sprinkler,119,Rabi,559,32,6.4,Cotton
Clay,1.54,219,Flood,137,Summer,705,38,7.0,Onion
Peaty,0.65,340,Drip,133,Kharif,169,21,6.9,Rice
Silty,2.77,773,Flood,136,Rabi,1197,28,7.9,Pulses
Loamy,1.15,447,Flood,159,Kharif,1090,19,6.2,Cotton
Sandy,7.81,408,Rainfed,64,Kharif,585,26,5.7,Pulses
Clay,5.51,1182,Sprinkler,163,Summer,299,27,7.7,Rice
Silty,4.45,876,Drip,136,Kharif,431,24,6.5,Maize
Silty,1.26,735,Rainfed,190,Kharif,1168,36,5.7,Cotton
Sandy,3.21,1026,Rainfed,148,Kharif,1194,39,5.5,Cotton
Loamy,1.25,822,Rainfed,99,Kharif,982,32,5.8,Rice
Clay,9.8,634,Drip,78,Rabi,159,23,7.4,Sugarcane
Silty,4.42,1065,Sprinkler,160,Summer,278,26,5.8,Onion
Peaty,2.99,402,Rainfed,25,Rabi,1007,22,8.4,Maize
Silty,1.4,451,Sprinkler,112,Rabi,1056,36,8.3,Sugarcane
Silty,3.77,1094,Sprinkler,147,Kharif,1139,33,7.7,Rice
Peaty,5.51,481,Drip,136,Rabi,247,27,6.7,Maize
Sandy,3.69,254,Drip,136,Summer,821,26,6.1,Pulses
Clay,7.69,319,Flood,42,Kharif,622,38,6.8,Maize
Silty,8.29,236,Sprinkler,164,Summer,328,28,7.8,Tomato
Clay,4.0,290,Rainfed,134,Rabi,977,29,8.1,Pulses
Loamy,5.04,1180,Flood,129,Rabi,118,30,8.4,Wheat
Sandy,1.83,1262,Flood,180,Rabi,354,34,7.3,Rice
Peaty,5.03,400,Drip,132,Summer,1097,37,7.0,Tomato
Peaty,4.95,1464,Drip,134,Rabi,657,30,7.2,Onion
Clay,8.19,459,Drip,181,Kharif,549,35,6.0,Maize
Silty,1.88,1308,Rainfed,180,Summer,762,21,8.3,Onion
Silty,0.73,1481,Flood,135,Kharif,186,23,7.1,Rice
Clay,4.15,1371,Rainfed,184,Rabi,774,21,6.3,Rice
Clay,0.63,1467,Flood,174,Summer,472,23,7.4,Rice
Sandy,9.59,1343,Sprinkler,92,Summer,1031,26,8.4,Onion
Silty,4.98,1087,Drip,194,Kharif,558,18,6.4,Rice
Clay,1.36,615,Rainfed,136,Summer,485,38,8.3,Tomato
Sandy,3.97,1267,Sprinkler,21,Rabi,104,27,8.4,Rice
Silty,7.59,808,Rainfed,163,Rabi,535,34,6.7,Wheat
Sandy,4.7,1270,Flood,22,Summer,307,23,5.5,Tomato
Silty,2.2,1030,Flood,156,Kharif,183,18,6.5,Cotton
Silty,6.57,763,Flood,40,Rabi,131,23,5.8,Tomato
Loamy,4.43,901,Sprinkler,22,Kharif,473,26,8.2,Maize
Sandy,8.35,806,Rainfed,44,Rabi,1105,24,7.2,Maize
Silty,9.44,676,Drip,53,Rabi,506,30,5.8,Maize
Clay,2.07,440,Rainfed,156,Kharif,419,20,7.1,Rice
Loamy,3.34,828,Rainfed,123,Rabi,634,35,7.8,Wheat
Loamy,3.65,1341,Sprinkler,200,Summer,336,28,7.3,Tomato
Clay,1.87,224,Rainfed,96,Kharif,721,27,6.6,Cotton
Loamy,4.17,482,Sprinkler,73,Kharif,702,36,6.5,Rice
Peaty,1.01,699,Rainfed,78,Summer,1198,30,7.5,Tomato
Silty,1.94,927,Drip,104,Summer,742,25,7.3,Tomato
Silty,9.95,261,Flood,108,Kharif,626,32,7.1,Cotton
Clay,5.89,1046,Sprinkler,174,Rabi,896,32,7.1,Rice
Peaty,7.3,859,Rainfed,63,Kharif,152,38,5.6,Maize
Loamy,0.95,1276,Sprinkler,24,Summer,1081,21,6.8,Tomato
Clay,7.59,663,Flood,47,Rabi,499,32,6.5,Maize
Silty,7.02,1391,Sprinkler,171,Kharif,281,23,5.9,Maize
Clay,6.85,943,Rainfed,185,Summer,846,31,6.5,Rice
Loamy,8.1,525,Flood,78,Kharif,343,36,7.7,Rice
Sandy,6.17,240,Flood,130,Kharif,293,22,7.5,Pulses
Peaty,1.34,462,Drip,70,Rabi,1142,20,7.9,Sugarcane
Peaty,3.9,234,Rainfed,171,Kharif,733,25,7.3,Cotton
Sandy,4.46,867,Sprinkler,164,Summer,137,23,5.9,Tomato
Clay,6.46,1057,Flood,134,Kharif,907,27,7.9,Rice
Clay,4.17,629,Flood,96,Rabi,1021,35,6.4,Maize
Silty,3.24,405,Rainfed,70,Kharif,547,18,7.6,Cotton
Silty,4.33,511,Sprinkler,191,Kharif,355,20,6.6,Maize
Silty,6.76,822,Rainfed,86,Summer,399,30,8.4,Tomato
Clay,5.3,245,Flood,44,Summer,462,26,7.1,Onion
Clay,2.69,382,Rainfed,49,Summer,489,33,7.4,Tomato
Peaty,3.29,647,Sprinkler,121,Kharif,464,22,7.2,Maize
Silty,9.75,637,Flood,184,Kharif,189,40,6.3,Rice
Clay,9.95,767,Sprinkler,172,Rabi,472,37,8.1,Sugarcane
Loamy,5.27,393,Sprinkler,87,Rabi,771,25,7.8,Wheat
Silty,6.44,1171,Sprinkler,76,Summer,221,29,6.4,Tomato
Sandy,5.65,1191,Rainfed,35,Kharif,865,32,6.5,Rice
Silty,7.84,943,Rainfed,41,Summer,795,27,6.4,Onion
Silty,8.01,965,Sprinkler,200,Rabi,432,36,7.4,Pulses
Silty,8.43,1012,Drip,120,Kharif,979,32,5.5,Maize
Silty,7.11,1138,Rainfed,107,Summer,517,38,8.3,Onion
Loamy,7.95,1249,Flood,26,Kharif,222,37,7.7,Rice
Sandy,2.94,1120,Drip,40,Summer,372,35,7.4,Tomato
Loamy,1.69,515,Sprinkler,43,Rabi,1161,31,8.2,Wheat
Sandy,6.05,906,Sprinkler,173,Summer,1016,27,6.9,Onion
Clay,3.03,1491,Flood,90,Summer,1140,25,7.5,Rice
Peaty,4.91,1383,Flood,27,Rabi,660,20,5.6,Rice
Loamy,0.85,1339,Drip,142,Rabi,424,23,5.6,Wheat
Sandy,1.59,228,Drip,161,Summer,1101,36,5.9,Pulses
Loamy,2.61,1424,Sprinkler,50,Kharif,808,20,5.8,Maize
Peaty,9.46,593,Rainfed,165,Rabi,844,28,6.5,Cotton
Loamy,6.46,456,Flood,165,Rabi,711,31,8.0,Wheat
Peaty,5.44,1185,Drip,200,Rabi,170,38,5.5,Pulses
Peaty,7.9,793,Flood,81,Kharif,259,32,7.7,Maize
Peaty,7.88,340,Sprinkler,162,Rabi,1144,39,5.7,Cotton
Sandy,7.37,456,Sprinkler,36,Kharif,602,28,5.8,Pulses
Silty,9.7,1328,Rainfed,198,Summer,389,40,6.7,Tomato
Clay,9.45,462,Rainfed,20,Kharif,881,33,6.9,Cotton
Silty,1.52,862,Flood,132,Summer,374,36,6.5,Tomato
Sandy,9.2,1470,Flood,86,Summer,346,23,5.6,Onion
Silty,7.9,920,Drip,187,Rabi,717,32,7.2,Maize
Silty,5.51,332,Flood,101,Rabi,465,22,8.1,Maize
Silty,9.5,622,Rainfed,190,Kharif,544,19,8.4,Cotton
Silty,9.57,643,Rainfed,147,Rabi,178,22,5.5,Sugarcane
Silty,6.9,784,Rainfed,108,Rabi,1055,25,5.8,Wheat
Peaty,5.06,1469,Rainfed,41,Summer,653,40,7.9,Onion
Peaty,8.71,679,Flood,198,Rabi,1153,38,6.6,Maize
Loamy,5.03,1005,Sprinkler,130,Kharif,118,36,8.0,Maize
Silty,5.89,1059,Flood,178,Rabi,709,34,8.4,Tomato
Sandy,3.1,1435,Drip,57,Kharif,522,30,7.8,Cotton
Sandy,3.39,905,Sprinkler,176,Rabi,862,38,7.3,Wheat
Clay,9.39,654,Flood,102,Summer,882,28,7.3,Onion
Silty,9.48,864,Drip,165,Kharif,1021,26,6.5,Maize
Peaty,9.52,1481,Flood,185,Rabi,669,19,6.7,Rice
Sandy,7.83,1199,Drip,41,Summer,182,27,5.6,Tomato
Sandy,3.0,1136,Drip,170,Rabi,935,38,5.9,Pulses
Sandy,6.66,240,Flood,55,Kharif,574,20,6.3,Pulses
Sandy,6.67,1104,Flood,88,Rabi,743,32,8.3,Pulses
Loamy,7.05,1042,Sprinkler,79,Summer,667,33,6.4,Tomato
Silty,1.19,942,Sprinkler,160,Summer,706,33,6.2,Onion
Loamy,4.9,323,Rainfed,192,Kharif,1164,36,6.8,Cotton
Sandy,9.21,1416,Sprinkler,101,Kharif,798,40,7.5,Maize
Clay,3.11,1189,Sprinkler,138,Kharif,659,26,6.1,Rice
Sandy,8.14,1057,Rainfed,181,Summer,404,21,6.8,Onion
Clay,4.09,861,Flood,21,Kharif,261,26,7.7,Rice
Sandy,0.59,400,Flood,77,Summer,1159,32,6.6,Pulses
Loamy,9.27,973,Rainfed,199,Kharif,874,28,7.6,Maize
Loamy,1.81,642,Rainfed,124,Summer,1187,38,7.0,Tomato
Clay,8.32,824,Drip,81,Summer,1031,30,6.3,Tomato
Sandy,1.66,579,Flood,145,Summer,208,21,5.8,Pulses
Clay,5.66,941,Sprinkler,164,Summer,199,23,8.5,Rice
Clay,3.83,1483,Sprinkler,38,Summer,707,18,6.9,Rice
Sandy,6.9,535,Drip,169,Rabi,453,21,8.5,Pulses
Silty,8.69,997,Flood,52,Kharif,656,20,7.6,Maize
Loamy,8.81,424,Rainfed,106,Summer,129,35,6.5,Tomato
Peaty,8.1,477,Flood,179,Summer,787,37,6.4,Tomato
Peaty,1.61,870,Sprinkler,54,Rabi,619,29,7.9,Sugarcane
Loamy,0.56,458,Flood,112,Kharif,407,36,7.6,Maize
Peaty,5.66,352,Sprinkler,199,Summer,947,29,7.2,Onion
Peaty,2.13,693,Sprinkler,118,Kharif,1177,26,6.6,Cotton
Clay,5.05,752,Sprinkler,54,Summer,332,25,6.2,Onion
Loamy,1.2,1029,Rainfed,171,Kharif,163,29,6.6,Cotton
Sandy,1.08,228,Flood,48,Kharif,301,33,6.1,Pulses
Loamy,5.65,1487,Rainfed,29,Rabi,623,29,7.8,Wheat
Sandy,3.53,562,Rainfed,188,Kharif,148,20,7.5,Pulses
Peaty,6.46,379,Rainfed,190,Rabi,1069,34,6.2,Rice
Sandy,3.53,1290,Sprinkler,43,Kharif,287,20,7.7,Rice
Loamy,4.69,605,Drip,28,Summer,889,27,6.0,Tomato
Clay,6.06,1063,Sprinkler,118,Kharif,511,18,7.1,Rice
Clay,1.38,216,Rainfed,88,Summer,918,19,8.2,Tomato
Silty,9.38,1198,Flood,29,Summer,100,22,7.6,Onion
Peaty,4.74,1129,Drip,102,Rabi,1165,34,8.1,Rice
Peaty,4.61,606,Sprinkler,44,Summer,564,30,6.7,Onion
Peaty,6.31,1246,Sprinkler,103,Rabi,466,25,5.6,Onion
Clay,3.24,1294,Rainfed,175,Summer,106,32,7.9,Rice
Loamy,1.44,788,Sprinkler,111,Kharif,1116,39,8.5,Rice
Peaty,6.92,1434,Drip,126,Rabi,805,19,6.7,Maize
Peaty,6.94,633,Rainfed,193,Summer,1086,39,8.5,Onion
Sandy,6.18,766,Drip,102,Kharif,313,34,5.7,Cotton
Silty,6.05,1243,Flood,144,Kharif,514,27,7.0,Rice
Peaty,4.49,241,Rainfed,78,Rabi,800,21,6.7,Onion
Clay,9.27,865,Drip,190,Kharif,1021,26,6.0,Rice
Peaty,1.27,239,Drip,116,Summer,822,29,7.9,Tomato
Sandy,6.42,1482,Rainfed,32,Summer,141,28,7.0,Onion
Loamy,7.25,822,Drip,122,Rabi,487,21,8.1,Wheat
Silty,1.29,400,Flood,23,Rabi,470,40,6.3,Sugarcane
Peaty,8.71,318,Sprinkler,115,Summer,937,27,5.6,Tomato
Clay,8.81,752,Flood,117,Rabi,171,22,5.7,Maize
Silty,7.62,693,Sprinkler,26,Rabi,1084,26,7.0,Rice
Loamy,4.0,256,Rainfed,70,Rabi,198,30,6.0,Wheat
Silty,6.58,312,Drip,26,Kharif,815,30,6.0,Rice
Loamy,1.0,1393,Sprinkler,107,Summer,193,40,5.8,Onion
Loamy,1.96,1089,Rainfed,118,Summer,180,27,6.2,Tomato
Sandy,1.99,740,Flood,40,Rabi,269,40,7.5,Tomato
Clay,5.67,519,Flood,93,Summer,1112,35,7.5,Onion
Silty,1.69,540,Drip,41,Summer,493,30,5.5,Tomato
Loamy,2.43,1349,Flood,83,Rabi,109,35,5.9,Wheat
Loamy,7.71,980,Drip,72,Summer,706,30,7.2,Onion
Loamy,4.67,461,Sprinkler,191,Rabi,685,34,6.0,Wheat
Clay,6.45,1336,Flood,189,Rabi,993,39,7.7,Rice
Sandy,2.6,1285,Rainfed,79,Kharif,995,31,5.8,Rice
Sandy,1.85,541,Sprinkler,54,Kharif,343,37,5.5,Pulses
Silty,8.95,736,Sprinkler,22,Rabi,291,40,7.6,Tomato
Silty,5.99,609,Flood,154,Rabi,208,23,7.4,Sugarcane
Peaty,2.25,1277,Drip,158,Summer,693,30,5.6,Tomato
Sandy,1.41,564,Rainfed,65,Summer,640,26,6.9,Pulses
Sandy,6.27,1448,Sprinkler,161,Rabi,1136,36,6.6,Cotton
Clay,1.7,986,Rainfed,83,Kharif,527,23,8.0,Rice
Peaty,8.57,226,Flood,120,Kharif,670,34,5.8,Maize
Sandy,1.25,970,Drip,171,Summer,901,40,7.1,Tomato
Peaty,8.43,487,Rainfed,74,Summer,503,34,6.8,Onion
Clay,6.14,923,Flood,65,Rabi,621,25,6.6,Rice
Clay,7.49,744,Flood,49,Kharif,1151,36,7.9,Rice
Sandy,8.65,768,Sprinkler,190,Rabi,114,21,7.8,Wheat
Peaty,9.86,1390,Rainfed,128,Kharif,987,29,6.7,Rice
Clay,5.66,823,Drip,78,Kharif,1152,21,8.3,Cotton
Sandy,0.67,1012,Rainfed,48,Summer,702,26,5.9,Tomato
Peaty,9.05,1308,Flood,29,Rabi,816,29,7.2,Cotton
Sandy,1.88,862,Rainfed,192,Kharif,592,29,6.5,Rice
Peaty,0.92,1342,Sprinkler,196,Rabi,438,37,7.6,Sugarcane
Loamy,3.79,1146,Sprinkler,150,Kharif,332,31,7.7,Rice
Clay,5.17,960,Rainfed,192,Summer,506,32,6.3,Rice
Silty,5.1,488,Sprinkler,70,Summer,503,23,7.9,Onion
Peaty,2.36,1442,Sprinkler,133,Rabi,776,24,8.4,Cotton
Clay,1.71,1462,Flood,134,Kharif,612,23,8.4,Rice
Loamy,7.15,532,Sprinkler,119,Rabi,160,39,7.2,Wheat
Loamy,1.05,249,Rainfed,189,Summer,1041,29,6.5,Onion
Silty,8.86,807,Flood,95,Rabi,470,24,7.5,Cotton
Sandy,9.02,665,Flood,82,Kharif,726,32,7.1,Cotton
Clay,7.21,881,Rainfed,91,Summer,1161,28,7.2,Tomato
Peaty,2.32,598,Sprinkler,85,Kharif,356,35,7.9,Cotton
Clay,7.29,740,Rainfed,168,Rabi,1016,26,7.2,Onion
Clay,4.69,932,Sprinkler,147,Rabi,392,35,5.8,Rice
Silty,2.95,566,Sprinkler,24,Kharif,500,27,7.6,Cotton
Clay,9.26,719,Drip,38,Rabi,460,18,7.4,Onion
Loamy,7.39,671,Flood,101,Summer,1030,21,8.1,Tomato
Sandy,6.77,1229,Drip,192,Rabi,644,37,7.5,Pulses
Clay,6.92,1269,Sprinkler,110,Kharif,772,18,7.5,Rice
Loamy,9.83,441,Flood,176,Kharif,1152,19,7.9,Cotton
Loamy,4.05,1397,Sprinkler,83,Kharif,116,25,7.2,Cotton
Silty,8.92,1207,Drip,196,Kharif,225,22,7.9,Rice
Sandy,6.03,213,Drip,88,Summer,828,40,7.7,Pulses
Silty,4.43,978,Sprinkler,109,Rabi,1012,36,5.6,Cotton
Silty,9.54,870,Flood,191,Kharif,1161,32,5.9,Cotton
Sandy,1.99,268,Drip,109,Rabi,783,29,5.7,Pulses
Sandy,4.12,1032,Drip,99,Summer,129,25,5.8,Tomato
Peaty,9.81,253,Rainfed,168,Rabi,264,19,8.0,Tomato
Loamy,4.88,1007,Sprinkler,46,Kharif,753,20,5.7,Maize
Clay,5.89,1129,Flood,144,Rabi,765,21,8.0,Rice
Peaty,3.91,433,Drip,164,Summer,615,34,6.8,Tomato
Peaty,6.65,1500,Rainfed,168,Summer,118,32,8.3,Tomato
Peaty,4.06,950,Rainfed,131,Summer,212,24,5.7,Onion
Clay,9.34,678,Drip,187,Rabi,830,39,7.2,Onion
Loamy,9.33,991,Sprinkler,186,Kharif,939,21,6.8,Cotton
Silty,5.35,866,Flood,84,Rabi,1074,18,8.3,Onion
Loamy,5.76,478,Drip,137,Kharif,313,34,8.3,Maize
Sandy,3.93,246,Sprinkler,85,Summer,536,25,7.3,Pulses
Silty,2.45,1479,Drip,164,Kharif,939,18,6.0,Cotton
Clay,1.96,1003,Sprinkler,44,Summer,983,26,7.8,Rice
Silty,3.13,662,Flood,37,Rabi,395,28,6.8,Onion
Sandy,4.98,1135,Rainfed,73,Summer,305,33,6.0,Tomato
Clay,1.36,376,Sprinkler,71,Summer,1055,19,5.8,Tomato
Loamy,2.38,228,Sprinkler,81,Rabi,961,32,6.8,Wheat
Loamy,1.21,619,Sprinkler,48,Summer,982,19,5.6,Tomato
Loamy,7.33,395,Rainfed,178,Kharif,620,40,6.3,Cotton
Silty,5.14,1369,Rainfed,135,Kharif,561,24,6.4,Cotton
Silty,6.86,818,Rainfed,171,Rabi,1147,20,8.0,Cotton
Sandy,5.27,964,Sprinkler,132,Kharif,753,19,8.1,Rice
Sandy,9.38,1318,Rainfed,190,Kharif,1027,40,6.8,Rice
Sandy,3.41,1246,Flood,152,Summer,782,36,5.9,Onion
Sandy,9.02,1128,Drip,69,Summer,127,38,5.8,Tomato
Clay,9.51,661,Rainfed,119,Summer,726,32,8.0,Onion
Silty,9.12,328,Rainfed,41,Summer,459,25,6.1,Onion
Clay,9.44,1165,Rainfed,128,Summer,519,25,7.1,Rice
Clay,9.51,1441,Sprinkler,49,Kharif,720,40,7.6,Rice
Clay,7.66,758,Drip,96,Kharif,786,32,7.5,Rice
Silty,4.72,489,Flood,119,Kharif,221,39,6.9,Rice
Peaty,7.96,975,Rainfed,151,Summer,725,26,5.9,Onion
Peaty,7.25,985,Drip,182,Summer,464,34,8.4,Tomato
Loamy,1.66,327,Flood,57,Rabi,769,27,7.9,Wheat
Peaty,9.46,1047,Sprinkler,172,Summer,414,24,5.7,Tomato
Silty,2.92,952,Sprinkler,107,Kharif,1006,29,7.1,Rice
Peaty,7.31,1321,Sprinkler,47,Kharif,287,32,6.4,Rice
Peaty,4.53,874,Flood,122,Kharif,843,27,6.0,Rice
Loamy,5.75,986,Rainfed,187,Summer,127,35,6.1,Onion
Peaty,9.63,1322,Flood,111,Rabi,420,34,7.0,Sugarcane
Sandy,0.97,540,Sprinkler,140,Kharif,776,24,5.6,Pulses
Clay,3.77,678,Sprinkler,199,Kharif,1045,19,5.9,Cotton
Clay,7.86,947,Rainfed,148,Rabi,696,37,6.0,Rice
Silty,5.39,1183,Rainfed,54,Summer,798,36,7.2,Tomato
Clay,9.38,219,Sprinkler,192,Rabi,924,36,6.2,Rice
Sandy,7.09,703,Flood,191,Kharif,297,33,7.5,Maize
Silty,8.52,1277,Flood,22,Summer,593,38,8.1,Onion
Loamy,1.89,209,Sprinkler,40,Summer,845,39,8.1,Tomato
Loamy,7.9,1459,Rainfed,81,Kharif,604,19,5.7,Maize
Loamy,8.15,434,Sprinkler,26,Kharif,868,37,8.5,Maize
Silty,7.23,450,Drip,191,Kharif,368,26,6.5,Maize
Peaty,0.92,307,Sprinkler,112,Kharif,899,22,7.5,Maize
Silty,1.28,473,Sprinkler,103,Summer,859,20,7.9,Onion
Peaty,1.59,403,Rainfed,176,Kharif,133,37,6.2,Rice
Loamy,9.52,1110,Sprinkler,166,Rabi,812,20,6.7,Wheat
Sandy,6.57,1257,Drip,77,Rabi,798,36,5.7,Tomato
Silty,4.46,1270,Rainfed,57,Kharif,461,34,6.3,Rice
Peaty,0.83,305,Flood,54,Summer,1184,24,5.9,Onion
Sandy,8.19,1347,Flood,100,Rabi,1196,36,5.7,Onion
Sandy,2.47,1343,Drip,146,Summer,874,28,7.5,Tomato
Clay,9.13,1356,Rainfed,91,Summer,372,39,8.3,Rice
Loamy,2.54,1042,Rainfed,180,Kharif,1189,28,7.0,Rice
Peaty,0.81,473,Drip,128,Kharif,747,30,6.8,Rice
Peaty,4.09,228,Flood,29,Kharif,233,33,7.4,Cotton
Loamy,7.21,1203,Rainfed,184,Rabi,1170,38,8.4,Wheat
Clay,4.72,509,Drip,30,Kharif,1062,33,6.8,Cotton
Clay,9.01,958,Sprinkler,92,Rabi,324,21,7.0,Rice
Sandy,6.44,472,Flood,20,Rabi,312,21,5.6,Pulses
Clay,7.99,285,Flood,196,Rabi,722,34,7.2,Maize
Clay,1.66,1267,Flood,121,Summer,1041,40,7.0,Rice
Loamy,0.69,349,Rainfed,189,Kharif,874,18,6.8,Rice
Silty,0.6,205,Flood,57,Rabi,589,29,6.5,Cotton
Silty,9.7,209,Rainfed,35,Rabi,1097,28,5.8,Maize
Sandy,6.47,1300,Flood,152,Summer,457,18,8.1,Onion
Clay,4.4,1187,Rainfed,44,Summer,418,26,5.6,Rice
Loamy,3.28,1148,Flood,43,Summer,656,24,7.9,Onion
Peaty,5.69,1304,Rainfed,25,Rabi,742,27,5.6,Cotton
Silty,6.32,404,Drip,71,Rabi,1018,21,5.7,Sugarcane
Sandy,8.33,525,Sprinkler,172,Rabi,1176,22,5.6,Pulses
Silty,3.0,1294,Rainfed,45,Summer,284,37,8.2,Onion
Peaty,5.82,1128,Rainfed,135,Summer,565,24,7.9,Tomato
Clay,2.08,843,Flood,200,Rabi,938,19,6.2,Pulses
